,UK,US,IsVariant
770,fulfilments,fulfillments,non+AC0-variant
771,modellers,modelers,non+AC0-variant
772,modeller,modeler,non+AC0-variant
773,marvellous,marvelous,non+AC0-variant
774,skilfully,skillfully,non+AC0-variant
775,instalments,installments,non+AC0-variant
776,Greyscale,Grayscale,non+AC0-variant
777,greying,graying,non+AC0-variant
778,Grey,Gray,non+AC0-variant
779,greyscale,grayscale,non+AC0-variant
780,greywater,graywater,non+AC0-variant
781,fibres,fibers,non+AC0-variant
782,centres,centers,non+AC0-variant
783,theatre,theater,non+AC0-variant
784,fibreglass,fiberglass,non+AC0-variant
785,unicentre,unicenter,non+AC0-variant
786,centre,center,non+AC0-variant
787,nanometre,nanometer,non+AC0-variant
788,fibre,fiber,non+AC0-variant
789,isocentre,isocenter,non+AC0-variant
790,Multicentre,Multicenter,non+AC0-variant
791,millimetres,millimeters,non+AC0-variant
792,calibre,caliber,non+AC0-variant
793,centimetres,centimeters,non+AC0-variant
794,metre,meter,non+AC0-variant
795,theatres,theaters,non+AC0-variant
796,micrometres,micrometers,non+AC0-variant
797,epicentre,epicenter,non+AC0-variant
798,Cfibres,Cfibers,non+AC0-variant
799,litre,liter,non+AC0-variant
800,Epicentre,Epicenter,non+AC0-variant
801,multicentre,multicenter,non+AC0-variant
802,metres,meters,non+AC0-variant
803,Fibre,Fiber,non+AC0-variant
804,litres,liters,non+AC0-variant
805,centreline,centerline,non+AC0-variant
806,aluminium,aluminum,non+AC0-variant
807,subspeciality,subspecialty,variant
808,Aluminium,Aluminum,non+AC0-variant
809,specialities,specialties,non+AC0-variant
810,speciality,specialty,non+AC0-variant
811,Programme,Program,non+AC0-variant
812,programme,program,non+AC0-variant
813,programmes,programs,non+AC0-variant
814,leucoencephalopathy,leukoencephalopathy,non+AC0-variant
815,disc,disk,non+AC0-variant
816,leucoaraiosis,leukoaraiosis,non+AC0-variant
817,sceptically,skeptically,non+AC0-variant
818,sceptics,skeptics,non+AC0-variant
819,sceptical,skeptical,non+AC0-variant
820,leucocytes,leukocytes,non+AC0-variant
821,sulphur,sulfur,non+AC0-variant
822,sulphamethoxazole,sulfamethoxazole,non+AC0-variant
823,sulphuric,sulfuric,non+AC0-variant
824,thiosulphate,thiosulfate,non+AC0-variant
825,Sulphonylurea,Sulfonylurea,non+AC0-variant
826,sulphate,sulfate,non+AC0-variant
827,Sulphate,Sulfate,non+AC0-variant
828,desulphurization,desulfurization,non+AC0-variant
829,disulphide,disulfide,non+AC0-variant
830,sulphonylurea,sulfonylurea,non+AC0-variant
831,dodecylsulphate,dodecylsulfate,non+AC0-variant
832,haemolysed,hemolyzed,non+AC0-variant
833,anaesthetised,anesthetized,non+AC0-variant
834,jewellery,jewelry,non+AC0-variant
835,Minimise,Minimize,
836,behaviour,behavior,
837,personalising,personalizing,
838,Individualised,Individualized,
839,normalised,normalized,
840,modelled,modeled,
841,behaviours,behaviors,
842,acknowledgement,acknowledgment,
843,aluminium,aluminum,
844,analyse,analyze,
845,colour,color,
846,diarrhoea,diarrhea,
847,grey,gray,
848,gynaecological,gynecological,
849,judgement,judgment,
850,leukaemia,leukemia,
851,manoeuvre,maneuver,
852,metre,meter,
853,orthopaedic,orthopedic,
854,towards,toward,
855,travelling,traveling,
856,upwards,upward,
857,utilise,utilize,
858,afterwards,afterward,
859,onwards,onward,
860,amongst,among,
861,Anaemia,Anemia,
862,Paediatric,Pediatric,
863,Haemoglobin,Hemoglobin,
864,Gynaecology,Gynecology,
865,normalisation,normalization,
866,categorised,categorized,
867,acknowledgements,acknowledgments,
868,judgement,judgment,
869,peri-operative,perioperative,
870,stigmatisation,stigmatization,
871,pedalling,pedaling,
872,aetiology,etiology,
873,anaemia,anemia,
874,anaesthetic,anesthetic,
875,caesarean,cesarean,
876,defaecation,defecation,
877,dyslipidaemia,dyslipidemia,
878,glycaemic index,glycemic index,
879,gynaecology,gynecology,
880,haemoglobin,hemoglobin,
881,haemorrhage,hemorrhage,
882,ischaemic,ischemic,
883,leukaemia,leukemia,
884,orthopaedic,orthopedic,
885,paediatric,pediatric,
886,diarrhoea,diarrhea,
887,coeliac,celiac,
888,dyspnoea,dyspnea,
889,fetus or foetus,fetus,
890,manoeuvre,maneuver,
891,oedema,edema,
892,oesophagus,esophagus,
893,oestrogen,estrogen,
894,behaviour,behavior,
895,colour,color,
896,favour,favor,
897,humour,humor,
898,labour,labor,
899,tumour,tumor,
